Sample	posterior	likelihood	prior	TreeHeight	varValues	ORCucldMean	ORCsigma	ORCRatesStat.mean	ORCRatesStat.variance	ORCRatesStat.coefficientOfVariation	FBD	diversificationRateFBD	turnoverFBD	samplingProportionFBD	originFBD	SACountFBD
6560000	5308.88579589235	6220.41030534639	-911.524509454041	49.3612551231453	0.00229926140907875	0.0100649549949565	1.72102007857257	0.0157447327246126	0.0242471282953105	5.1839206616477	-155.919310383908	0.0279808836079336	0.644950773020987	0.258313316819331	68.9671269789723	2
6570000	5295.16648285711	6217.61693505493	-922.450452197815	89.7409508172809	0.00162934218650524	0.0108026560059027	1.68002149684165	0.0194249681211681	0.00091720986502656	2.52217421906057	-162.834173839889	0.0113642155334211	0.85586508401518	0.0949993279012144	90.5892200480694	2
6580000	5299.33243277686	6217.8616207752	-918.529187998341	82.0371303313631	0.00172582724360108	0.0106578964064083	1.82545333662613	0.0234662232087346	0.00154089420991606	3.06445015430308	-161.869476239032	0.0149945052884936	0.819129803715031	0.12758340382859	84.2151095390956	2
6590000	5285.62189070853	6201.94941512573	-916.3275244172	76.8426265616003	0.00186641364185342	0.0106879052450683	1.76556899994684	0.0197859685688298	0.00415347934088927	3.06611272654468	-154.907731681143	0.0331617268783842	0.792430531623135	0.0846701044699473	78.2595144474816	2
6600000	5295.61610306999	6217.43134964007	-921.81524657008	72.3440370862284	0.00180228941434239	0.0100373212220918	1.71301655287933	0.0251048430025357	0.00343119281482866	2.89177536489763	-154.474940721519	0.0276124327007008	0.590318874221167	0.292513653034577	76.1853720664198	2
6610000	5311.56307327737	6214.74034556014	-903.177272282772	77.5485242473748	0.00169350227371013	0.0102615873265699	1.75786086979422	0.0135161712404052	0.00104733382539289	2.83736543459207	-167.408203703929	0.0174868877618359	0.845132454422411	0.0696534396492398	84.0236605529854	2
6620000	5308.29690378743	6203.88158507807	-895.584681290638	91.0681412100287	0.00212593443349729	0.0104001204242219	1.93914473869303	0.0132341081914775	0.00125499450646988	3.03991486706087	-173.476587835098	0.0175010048211962	0.776213567761002	0.115210628942194	144.676801333931	2
6630000	5305.5138754442	6198.03407432979	-892.520198885582	73.167120217578	0.00224436587450646	0.0107111372208579	1.82273414921789	0.0100244241241037	0.000616066168916298	2.54007276910631	-169.199380850814	0.0227001994150175	0.7514472116329	0.114879086127498	85.8748869210115	2
6640000	5311.50495624149	6181.48636210741	-869.981405865921	70.2393460611558	0.00295284423023876	0.0103305301339481	1.88285940081605	0.0127588940059961	0.000961749016601929	3.08677022931094	-158.681477997613	0.0287549513509959	0.715936237544098	0.129673617754895	76.5857913823371	2
6650000	5314.41562409109	6183.54742657897	-869.131802487881	68.9996863826602	0.00357026695260514	0.0102001110074709	1.82842613327394	0.0109346066949447	0.00163298818838545	2.82113889155788	-156.207498747545	0.0448775946226032	0.641271530362519	0.0844960956794233	81.2269095496182	2
